 Stg  TypeStg      Time/Vol   TotReturnSI     LayerSI01     LayerSI02     LayerSI03      WellSI01      WellSI02      WellSI03        Wprd01        Wprd02        Wprd03        Temp01        Temp02        Temp03
   2        2        0.5250        0.0000        2.2424        3.3919        1.0731        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5292        0.0000        2.2418        3.3910        1.0728        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5333        0.0000        2.2411        3.3902        1.0724        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5375        0.0000        2.2405        3.3893        1.0721        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5417        0.0000        2.2398        3.3884        1.0717        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5458        0.0000        2.2392        3.3876        1.0714        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5500        0.0000        2.2386        3.3867        1.0710        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5542        0.0000        2.2379        3.3858        1.0707        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5583        0.0000        2.2373        3.3850        1.0703        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5625        0.0000        2.2366        3.3841        1.0700        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5667        0.0000        2.2360        3.3832        1.0696        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5708        0.0000        2.2353        3.3823        1.0693        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5750        0.0000        2.2347        3.3815        1.0689        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5792        0.0000        2.2340        3.3806        1.0686        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5833        0.0000        2.2334        3.3798        1.0683        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5875        0.0000        2.2328        3.3789        1.0679        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5917        0.0000        2.2321        3.3780        1.0676        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5958        0.0000        2.2315        3.3772        1.0672        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6000        0.0000        2.2308        3.3763        1.0669        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6042        0.0000        2.2302        3.3754        1.0665        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6083        0.0000        2.2295        3.3746        1.0662        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6125        0.0000        2.2289        3.3737        1.0658        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6167        0.0000        2.2283        3.3728        1.0655        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6208        0.0000        2.2276        3.3720        1.0651        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6250        0.0000        2.2270        3.3711        1.0648        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6292        0.0000        2.2263        3.3702        1.0644        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6333        0.0000        2.2257        3.3694        1.0641        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6375        0.0000        2.2251        3.3685        1.0637        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6417        0.0000        2.2244        3.3677        1.0634        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6458        0.0000        2.2238        3.3668        1.0631        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6500        0.0000        2.2231        3.3659        1.0627        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6542        0.0000        2.2225        3.3651        1.0624        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6583        0.0000        2.2219        3.3642        1.0620        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6625        0.0000        2.2212        3.3634        1.0617        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6667        0.0000        2.2206        3.3625        1.0613        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6708        0.0000        2.2199        3.3616        1.0610        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6750        0.0000        2.2193        3.3608        1.0606        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
